Date,tsla_adj
9/18/2014,263.820007
9/17/2014,261.380005
9/16/2014,260.73999
9/15/2014,253.860001
9/12/2014,279.200012
9/11/2014,280.309998
9/10/2014,281.100006
9/9/2014,278.480011
9/8/2014,282.109985
9/5/2014,277.390015
9/4/2014,286.040009
9/3/2014,281.190002
9/2/2014,284.119995
8/29/2014,269.700012
8/28/2014,263.859985
8/27/2014,263.25
8/26/2014,261.73999
8/25/2014,262.549988
8/22/2014,256.779999
8/21/2014,254.339996
8/20/2014,255.710007
8/19/2014,256.76001
8/18/2014,259.940002
8/15/2014,262.01001
8/14/2014,261.380005
8/13/2014,260.309998
8/12/2014,259.959991
8/11/2014,259.320007
8/8/2014,248.130005
8/7/2014,252.389999
8/6/2014,248.929993
8/5/2014,238.490005
8/4/2014,238.520004
8/1/2014,233.270004
7/31/2014,223.300003
7/30/2014,228.919998
7/29/2014,225.009995
7/28/2014,224.820007
7/25/2014,223.570007
7/24/2014,223.539993
7/23/2014,222.490005
7/22/2014,219.580002
7/21/2014,220.539993
7/18/2014,220.020004
7/17/2014,215.399994
7/16/2014,217.160004
7/15/2014,219.580002
7/14/2014,226.699997
7/11/2014,218.130005
7/10/2014,219.460007
7/9/2014,223.059998
7/8/2014,219.070007
7/7/2014,222.660004
7/3/2014,229.25
7/2/2014,229.429993
7/1/2014,239.720001
6/30/2014,240.059998
6/27/2014,239.059998
6/26/2014,235.600006
6/25/2014,236.889999
6/24/2014,232.5
6/23/2014,237.220001
6/20/2014,229.589996
6/19/2014,227.789993
6/18/2014,227.119995
6/17/2014,231.669998
6/16/2014,224.610001
6/13/2014,206.419998
6/12/2014,203.520004
6/11/2014,204.470001
6/10/2014,202.300003
6/9/2014,205.309998
6/6/2014,208.169998
6/5/2014,206.899994
6/4/2014,203.990005
6/3/2014,204.940002
6/2/2014,204.699997
5/30/2014,207.770004
5/29/2014,210.240005
5/28/2014,210.240005
5/27/2014,211.559998
5/23/2014,207.300003
5/22/2014,204.880005
5/21/2014,199.449997
5/20/2014,195.300003
5/19/2014,196.089996
5/16/2014,191.559998
5/15/2014,188.589996
5/14/2014,190.619995
5/13/2014,190.160004
5/12/2014,184.669998
5/9/2014,182.259995
5/8/2014,178.589996
5/7/2014,201.350006
5/6/2014,207.279999
5/5/2014,216.610001
5/2/2014,210.910004
5/1/2014,207.729996
4/30/2014,207.889999
4/29/2014,206.919998
4/28/2014,198.509995
4/25/2014,199.850006
4/24/2014,207.860001
4/23/2014,207.990005
4/22/2014,218.639999
4/21/2014,204.380005
4/17/2014,198.119995
4/16/2014,199.110001
4/15/2014,193.910004
4/14/2014,198.089996
4/11/2014,203.779999
4/10/2014,204.190002
4/9/2014,216.929993
4/8/2014,215.460007
4/7/2014,207.520004
4/4/2014,212.229996
4/3/2014,225.399994
4/2/2014,230.289993
4/1/2014,216.970001
3/31/2014,208.449997
3/28/2014,212.369995
3/27/2014,207.320007
3/26/2014,212.960007
3/25/2014,220.440002
3/24/2014,220.169998
3/21/2014,228.889999
3/20/2014,234.910004
3/19/2014,235.839996
3/18/2014,240.039993
3/17/2014,233.979996
3/14/2014,230.970001
3/13/2014,237.789993
3/12/2014,241.490005
3/11/2014,234.410004
3/10/2014,238.839996
3/7/2014,246.210007
3/6/2014,252.940002
3/5/2014,252.660004
3/4/2014,254.839996
3/3/2014,250.559998
2/28/2014,244.809998
2/27/2014,252.539993
2/26/2014,253
2/25/2014,248
2/24/2014,217.649994
2/21/2014,209.600006
2/20/2014,209.970001
2/19/2014,193.639999
2/18/2014,203.699997
2/14/2014,198.229996
2/13/2014,199.630005
2/12/2014,195.320007
2/11/2014,196.619995
2/10/2014,196.559998
2/7/2014,186.529999
2/6/2014,178.380005
2/5/2014,174.419998
2/4/2014,178.729996
2/3/2014,177.110001
1/31/2014,181.410004
1/30/2014,182.839996
1/29/2014,175.229996
1/28/2014,178.380005
1/27/2014,169.619995
1/24/2014,174.600006
1/23/2014,181.5
1/22/2014,178.559998
1/21/2014,176.679993
1/17/2014,170.009995
1/16/2014,170.970001
1/15/2014,164.130005
